term.id,ecoinventMapping
11DichlorotetrafluoroethaneToAirInputsProduction,843fd145-61ac-4fa7-a608-ce4ac4d88d49
1112TetrafluoroethaneToAirInputsProduction,e87f039d-d9ce-4242-ac18-c9284cc80f3d
112TrichlorotrifluoroethaneToAirInputsProduction,b32061b1-8d24-4663-b10d-0a1c705f2937
blackCarbonToAirFuelCombustion,57af157e-2054-407d-949b-8cc9c2aa4655
blackCarbonToAirInputsProduction,57af157e-2054-407d-949b-8cc9c2aa4655
bod5ToWaterIndustrialProcesses,70d467b6-115e-43c5-add2-441de9411348
bod5ToWaterInputsProduction,70d467b6-115e-43c5-add2-441de9411348
bromochlorodifluoromethaneToAirInputsProduction,494eb62d-3e16-4a81-b344-6d6dfd9fd4e2
ch4ToAirAquacultureSystems,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirCropResidueBurning,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirCropResidueDecomposition,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirEntericFermentation,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirExcreta,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirFloodedRice,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirFuelCombustion,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirInputsProductionFossil,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirInputsProductionNonFossil,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirNaturalVegetationBurning,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirOrganicSoilBurning,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirOrganicSoilCultivation,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirReservoirs,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirSoilFlux,da1157e2-7593-4dfd-80dd-a3449b37a4d8
ch4ToAirWasteTreatment,da1157e2-7593-4dfd-80dd-a3449b37a4d8
chlorodifluoromethaneToAirInputsProduction,18c582fe-7336-4138-8797-2db8b7a754c7
coToAirFuelCombustion,69a6c884-39be-444f-a67c-7436a5e66de2
coToAirInputsProduction,69a6c884-39be-444f-a67c-7436a5e66de2
co2ToAirAboveGroundBiomassStockChangeLandUseChange,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirAboveGroundBiomassStockChangeManagementChange,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirBelowGroundBiomassStockChangeLandUseChange,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirBelowGroundBiomassStockChangeManagementChange,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirCropResidueDecomposition,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirFuelCombustion,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirInputsProduction,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirLimeHydrolysis,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirNaturalVegetationBurning,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirOrganicSoilBurning,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirOrganicSoilCultivation,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirSoilCarbonStockChangeLandUseChange,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirSoilCarbonStockChangeManagementChange,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirSoilFlux,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirUreaHydrolysis,349b29d1-3e58-4c66-98b9-9d1a076efd2e
co2ToAirWasteTreatment,349b29d1-3e58-4c66-98b9-9d1a076efd2e
codToWaterIndustrialProcesses,ec76fb5c-b402-416b-825c-53e074fe7525
codToWaterInputsProduction,ec76fb5c-b402-416b-825c-53e074fe7525
dichlorodifluoromethaneToAirInputsProduction,c0e8ec60-a5ae-432e-97a5-cf76b6247a00
h2SToAirIndustrialProcesses,20d4d821-f4f7-4017-8810-f822fcdf619e
h2SToAirInputsProduction,20d4d821-f4f7-4017-8810-f822fcdf619e
hexaneToAirIndustrialProcesses,6b248529-b754-4be7-8b1a-91b9756fc2bc
hexaneToAirInputsProduction,6b248529-b754-4be7-8b1a-91b9756fc2bc
nErosionInputsProduction,7ce704ce-2a44-448b-b198-f00bf5928b4b
nErosionSoilFlux,
nToSurfaceWaterAquacultureSystems,d43f7827-b47b-4652-8366-f370995fd206
nToSurfaceWaterExcreta,d43f7827-b47b-4652-8366-f370995fd206
nToSurfaceWaterInputsProduction,d43f7827-b47b-4652-8366-f370995fd206
nToSurfaceWaterSoilFlux,d43f7827-b47b-4652-8366-f370995fd206
n2ToAirAquacultureSystems,e5ea66ee-28e2-4e9b-9a25-4414551d821c
n2ToAirCropResidueDecomposition,e5ea66ee-28e2-4e9b-9a25-4414551d821c
n2ToAirExcreta,e5ea66ee-28e2-4e9b-9a25-4414551d821c
