term.id,ecoinventMapping
antibioticUnspecifiedAi,"market for pesticide, unspecified"
vaccineUnspecifiedAi,"market for pesticide, unspecified"
aminocoumarins,"market for pesticide, unspecified"
aminocyclitols,"market for pesticide, unspecified"
aminoglycosides,"market for pesticide, unspecified"
amoxicillin,"market for pesticide, unspecified"
amphenicols,"market for pesticide, unspecified"
ansamycins,"market for pesticide, unspecified"
apramycinSulphate,"market for pesticide, unspecified"
arsenicalAntibiotics,"market for pesticide, unspecified"
bicyclomycin,"market for pesticide, unspecified"
cephalosporins1StAnd2NdGeneration,"market for pesticide, unspecified"
cephalosporins3Rd4ThAnd5ThGeneration,"market for pesticide, unspecified"
fusidanes,"market for pesticide, unspecified"
glycylcyclines,"market for pesticide, unspecified"
gylcopeptidesLipoglycopeptides,"market for pesticide, unspecified"
ionophoreAntibiotics,"market for pesticide, unspecified"
lincosamides,"market for pesticide, unspecified"
lipopeptideAntibiotics,"market for pesticide, unspecified"
macrolidesAndKetolides,"market for pesticide, unspecified"
monobactams,"market for pesticide, unspecified"
nitrofurans,"market for pesticide, unspecified"
nitroimidazoles,"market for pesticide, unspecified"
orthosomycins,"market for pesticide, unspecified"
oxazolidinones,"market for pesticide, unspecified"
oxytetracycline,"market for pesticide, unspecified"
penems,"market for pesticide, unspecified"
penicillinsAmidinopenicillin,"market for pesticide, unspecified"
penicillinsAminopenicillinWithBetaLactamaseInhibitors,"market for pesticide, unspecified"
penicillinsAminopenicillin,"market for pesticide, unspecified"
penicillinsAntipseudomonal,"market for pesticide, unspecified"
penicillinsAntistaphylococcal,"market for pesticide, unspecified"
penicillinsNarrowSpectrum,"market for pesticide, unspecified"
phosphoglycolipids,"market for pesticide, unspecified"
phosphonicAcidDerivatives,"market for pesticide, unspecified"
pleuromutilins,"market for pesticide, unspecified"
polymyxins,"market for pesticide, unspecified"
polypeptideAntibiotics,"market for pesticide, unspecified"
pseudomonicAcids,"market for pesticide, unspecified"
quinolones,"market for pesticide, unspecified"
quinoxalines,"market for pesticide, unspecified"
riminofenazines,"market for pesticide, unspecified"
streptogramins,"market for pesticide, unspecified"
sulfonamides,"market for pesticide, unspecified"
sulfones,"market for pesticide, unspecified"
tetracyclines,"market for pesticide, unspecified"
tuberculosisMycobacterialDiseasesDrugs,"market for pesticide, unspecified"
CAS-4080-31-3,"market for pesticide, unspecified"
CAS-569-77-7,"market for pesticide, unspecified"
CAS-86-40-8,"market for pesticide, unspecified"
CAS-4593-90-2,"market for pesticide, unspecified"
CAS-148-24-3,"market for pesticide, unspecified"
CAS-87-11-6,"market for pesticide, unspecified"
CAS-543-21-5,"market for pesticide, unspecified"
CAS-69235-50-3,"market for pesticide, unspecified"
CAS-539-86-6,"market for pesticide, unspecified"
CAS-90-64-2,"market for pesticide, unspecified"
CAS-61336-70-7,"market for pesticide, unspecified"
CAS-12633-72-6,"market for pesticide, unspecified"
CAS-69-53-4,"market for pesticide, unspecified"
CAS-574-95-8,"market for pesticide, unspecified"
CAS-123-99-9,"market for pesticide, unspecified"
CAS-83905-01-5,"market for pesticide, unspecified"
CAS-1405-87-4,"market for pesticide, unspecified"
CAS-622-78-6,"market for pesticide, unspecified"
CAS-633-03-4,"market for pesticide, unspecified"
CAS-53994-73-3,"market for pesticide, unspecified"
CAS-25953-19-9,"market for pesticide, unspecified"
CAS-63527-52-6,"market for pesticide, unspecified"
CAS-35607-66-0,"market for pesticide, unspecified"
CAS-72558-82-8,"market for pesticide, unspecified"
CAS-68401-81-0,"market for pesticide, unspecified"
CAS-73384-59-5,"market for pesticide, unspecified"
CAS-15686-71-2,"market for pesticide, unspecified"
CAS-50-59-9,"market for pesticide, unspecified"
CAS-153-61-7,"market for pesticide, unspecified"
CAS-24356-60-3,"market for pesticide, unspecified"
CAS-56-75-7,"market for pesticide, unspecified"
CAS-55-56-1,"market for pesticide, unspecified"
CAS-56-95-1,"market for pesticide, unspecified"
CAS-18472-51-0,"market for pesticide, unspecified"
CAS-773-76-2,"market for pesticide, unspecified"
CAS-57-62-5,"market for pesticide, unspecified"
CAS-86393-32-0,"market for pesticide, unspecified"
CAS-85721-33-1,"market for pesticide, unspecified"
CAS-81103-11-9,"market for pesticide, unspecified"
CAS-74469-00-4,"market for pesticide, unspecified"
CAS-130-26-7,"market for pesticide, unspecified"
CAS-61-72-3,"market for pesticide, unspecified"
CAS-66-81-9,"market for pesticide, unspecified"
CAS-533-74-4,"market for pesticide, unspecified"
CAS-334-48-5,"market for pesticide, unspecified"
CAS-520-45-6,"market for pesticide, unspecified"
CAS-127-33-3,"market for pesticide, unspecified"
CAS-64-73-3,"market for pesticide, unspecified"
CAS-62-73-7,"market for pesticide, unspecified"
CAS-112-65-2,"market for pesticide, unspecified"
CAS-2439-10-3,"market for pesticide, unspecified"
CAS-564-25-0,"market for pesticide, unspecified"
CAS-60940-34-3,"market for pesticide, unspecified"
CAS-93106-60-6,"market for pesticide, unspecified"
CAS-3943-89-3,"market for pesticide, unspecified"
CAS-141-97-9,"market for pesticide, unspecified"
CAS-97-53-0,"market for pesticide, unspecified"
CAS-72479-26-6,"market for pesticide, unspecified"
CAS-79660-72-3,"market for pesticide, unspecified"
CAS-64-18-6,"market for pesticide, unspecified"
CAS-1405-10-3,"market for pesticide, unspecified"
CAS-23110-15-8,"market for pesticide, unspecified"
CAS-139-91-3,"market for pesticide, unspecified"
CAS-67-45-8,"market for pesticide, unspecified"
CAS-548-62-9,"market for pesticide, unspecified"
CAS-87-52-5,"market for pesticide, unspecified"
CAS-126-07-8,"market for pesticide, unspecified"
CAS-499-44-5,"market for pesticide, unspecified"
CAS-11079-53-1,"market for pesticide, unspecified"
CAS-83-73-8,"market for pesticide, unspecified"
CAS-241479-67-4,"market for pesticide, unspecified"
CAS-27523-40-6,"market for pesticide, unspecified"
CAS-645-08-9,"market for pesticide, unspecified"
CAS-16846-24-5,"market for pesticide, unspecified"
CAS-520-18-3,"market for pesticide, unspecified"
CAS-8063-07-8,"market for pesticide, unspecified"
CAS-25389-94-0,"market for pesticide, unspecified"
CAS-84-79-7,"market for pesticide, unspecified"
CAS-143-07-7,"market for pesticide, unspecified"
CAS-100986-85-4,"market for pesticide, unspecified"
CAS-165800-03-3,"market for pesticide, unspecified"
CAS-569-64-2,"market for pesticide, unspecified"
CAS-10309-95-2,"market for pesticide, unspecified"
CAS-611-72-3,"market for pesticide, unspecified"
CAS-596-85-0,"market for pesticide, unspecified"
CAS-914-00-1,"market for pesticide, unspecified"
CAS-100-97-0,"market for pesticide, unspecified"
CAS-19438-10-9,"market for pesticide, unspecified"
CAS-1754-62-7,"market for pesticide, unspecified"
CAS-6317-18-6,"market for pesticide, unspecified"
CAS-443-48-1,"market for pesticide, unspecified"
CAS-51481-65-3,"market for pesticide, unspecified"
CAS-10118-90-8,"market for pesticide, unspecified"
CAS-480-16-0,"market for pesticide, unspecified"
CAS-300-76-5,"market for pesticide, unspecified"
CAS-389-08-2,"market for pesticide, unspecified"
CAS-28380-24-7,"market for pesticide, unspecified"
CAS-1929-82-4,"market for pesticide, unspecified"
CAS-67-20-9,"market for pesticide, unspecified"
CAS-59-87-0,"market for pesticide, unspecified"
CAS-70458-96-7,"market for pesticide, unspecified"
CAS-303-81-1,"market for pesticide, unspecified"
CAS-124-07-2,"market for pesticide, unspecified"
CAS-26530-20-1,"market for pesticide, unspecified"
CAS-82419-36-1,"market for pesticide, unspecified"
CAS-16773-42-5,"market for pesticide, unspecified"
CAS-14698-29-4,"market for pesticide, unspecified"
CAS-7542-37-2,"market for pesticide, unspecified"
CAS-1263-89-4,"market for pesticide, unspecified"
CAS-61-33-6,"market for pesticide, unspecified"
CAS-521-61-9,"market for pesticide, unspecified"
CAS-19562-30-2,"market for pesticide, unspecified"
CAS-32289-58-0,"market for pesticide, unspecified"
CAS-92-62-6,"market for pesticide, unspecified"
CAS-117-39-5,"market for pesticide, unspecified"
CAS-751-97-3,"market for pesticide, unspecified"
CAS-121-19-7,"market for pesticide, unspecified"
CAS-117-02-2,"market for pesticide, unspecified"
CAS-89-73-6,"market for pesticide, unspecified"
CAS-99592-32-2,"market for pesticide, unspecified"
CAS-53123-88-9,"market for pesticide, unspecified"
CAS-133-10-8,"market for pesticide, unspecified"
CAS-7784-46-5,"market for pesticide, unspecified"
CAS-26628-22-8,"market for pesticide, unspecified"
CAS-1695-77-8,"market for pesticide, unspecified"
CAS-57-92-1,"market for pesticide, unspecified"
CAS-80-32-0,"market for pesticide, unspecified"
CAS-2447-57-6,"market for pesticide, unspecified"
CAS-651-06-9,"market for pesticide, unspecified"
CAS-57-68-1,"market for pesticide, unspecified"
CAS-723-46-6,"market for pesticide, unspecified"
CAS-80-35-3,"market for pesticide, unspecified"
CAS-63-74-1,"market for pesticide, unspecified"
CAS-127-69-5,"market for pesticide, unspecified"
CAS-68647-73-4,"market for pesticide, unspecified"
CAS-76280-91-6,"market for pesticide, unspecified"
CAS-562-74-3,"market for pesticide, unspecified"
CAS-75-91-2,"market for pesticide, unspecified"
CAS-60-54-8,"market for pesticide, unspecified"
CAS-137-26-8,"market for pesticide, unspecified"
CAS-32986-56-4,"market for pesticide, unspecified"
CAS-6728-26-3,"market for pesticide, unspecified"
CAS-3380-34-5,"market for pesticide, unspecified"
CAS-738-70-5,"market for pesticide, unspecified"
CAS-2275-23-2,"market for pesticide, unspecified"
CAS-1404-90-6,"market for pesticide, unspecified"
CAS-11015-37-5,"market for pesticide, unspecified"
CAS-2001-95-8,"market for pesticide, unspecified"
CAS-68-41-7,"market for pesticide, unspecified"
CAS-102-98-7,"market for pesticide, unspecified"
CAS-8025-81-8,"market for pesticide, unspecified"
CAS-2682-20-4,"market for pesticide, unspecified"
CAS-2134-29-4,"market for pesticide, unspecified"
CAS-121-61-9,"market for pesticide, unspecified"
CAS-1220-83-3,"market for pesticide, unspecified"
CAS-7518-17-4,"market for pesticide, unspecified"
CAS-26172-55-4,"market for pesticide, unspecified"
CAS-90-45-9,"market for pesticide, unspecified"
CAS-65-49-6,"market for pesticide, unspecified"
CAS-1397-89-3,"market for pesticide, unspecified"
CAS-22862-76-6,"market for pesticide, unspecified"
CAS-642-15-9,"market for pesticide, unspecified"
CAS-490-02-8,"market for pesticide, unspecified"
CAS-2465-27-2,"market for pesticide, unspecified"
CAS-65195-56-4,"market for pesticide, unspecified"
CAS-320-67-2,"market for pesticide, unspecified"
CAS-632-99-5,"market for pesticide, unspecified"
CAS-20350-15-6,"market for pesticide, unspecified"
CAS-32718-18-6,"market for pesticide, unspecified"
CAS-8004-87-3,"market for pesticide, unspecified"
CAS-4564-87-8,"market for pesticide, unspecified"
CAS-5575-21-3,"market for pesticide, unspecified"
CAS-7059-24-7,"market for pesticide, unspecified"
CAS-105956-97-6,"market for pesticide, unspecified"
CAS-18323-44-9,"market for pesticide, unspecified"
CAS-24729-96-2,"market for pesticide, unspecified"
CAS-73-03-0,"market for pesticide, unspecified"
CAS-8064-90-2,"market for pesticide, unspecified"
CAS-93-51-6,"market for pesticide, unspecified"
CAS-22144-77-0,"market for pesticide, unspecified"
CAS-50-76-0,"market for pesticide, unspecified"
CAS-112398-08-0,"market for pesticide, unspecified"
CAS-80-08-0,"market for pesticide, unspecified"
CAS-20830-81-3,"market for pesticide, unspecified"
CAS-128-46-1,"market for pesticide, unspecified"
CAS-23214-92-8,"market for pesticide, unspecified"
CAS-17372-87-1,"market for pesticide, unspecified"
CAS-114-07-8,"market for pesticide, unspecified"
CAS-1837-57-6,"market for pesticide, unspecified"
CAS-536-33-4,"market for pesticide, unspecified"
CAS-68518-47-8,"market for pesticide, unspecified"
CAS-80370-57-6,"market for pesticide, unspecified"
CAS-73231-34-2,"market for pesticide, unspecified"
CAS-86386-73-4,"market for pesticide, unspecified"
CAS-42835-25-6,"market for pesticide, unspecified"
CAS-2002-29-1,"market for pesticide, unspecified"
CAS-536-69-6,"market for pesticide, unspecified"
CAS-49863-47-0,"market for pesticide, unspecified"
CAS-1403-66-3,"market for pesticide, unspecified"
CAS-599-52-0,"market for pesticide, unspecified"
CAS-35354-74-6,"market for pesticide, unspecified"
